protein_id,analysis_type,result_summary,detail_field_1,detail_field_2,detail_field_3,status
PROT_XA21,BLAST,PLACEHOLDER_NEEDS_DATA,similar_protein=PLACEHOLDER,identity_percent=PLACEHOLDER,e_value=PLACEHOLDER,AWAITING_USER_BLAST_RESULTS
PROT_XA21,MSA,PLACEHOLDER_NEEDS_DATA,conserved_region=PLACEHOLDER,alignment_file=PLACEHOLDER,notes=PLACEHOLDER,AWAITING_USER_MSA_RESULTS
PROT_XA21,INTERPRO,PLACEHOLDER_NEEDS_DATA,domain_name=LRR_receptor_kinase_PLACEHOLDER,start_pos=PLACEHOLDER,end_pos=PLACEHOLDER,AWAITING_USER_INTERPRO_RESULTS
PROT_PITA,BLAST,PLACEHOLDER_NEEDS_DATA,similar_protein=PLACEHOLDER,identity_percent=PLACEHOLDER,e_value=PLACEHOLDER,AWAITING_USER_BLAST_RESULTS
PROT_PITA,MSA,PLACEHOLDER_NEEDS_DATA,conserved_region=PLACEHOLDER,alignment_file=PLACEHOLDER,notes=PLACEHOLDER,AWAITING_USER_MSA_RESULTS
PROT_PITA,INTERPRO,PLACEHOLDER_NEEDS_DATA,domain_name=NBS-LRR_PLACEHOLDER,start_pos=PLACEHOLDER,end_pos=PLACEHOLDER,AWAITING_USER_INTERPRO_RESULTS
PROT_PBZ1,BLAST,PLACEHOLDER_NEEDS_DATA,similar_protein=PLACEHOLDER,identity_percent=PLACEHOLDER,e_value=PLACEHOLDER,AWAITING_USER_BLAST_RESULTS
PROT_PBZ1,MSA,PLACEHOLDER_NEEDS_DATA,conserved_region=PLACEHOLDER,alignment_file=PLACEHOLDER,notes=PLACEHOLDER,AWAITING_USER_MSA_RESULTS
PROT_PBZ1,INTERPRO,PLACEHOLDER_NEEDS_DATA,domain_name=PR-10_PLACEHOLDER,start_pos=PLACEHOLDER,end_pos=PLACEHOLDER,AWAITING_USER_INTERPRO_RESULTS
PROT_OSPR1,BLAST,PLACEHOLDER_NEEDS_DATA,similar_protein=PLACEHOLDER,identity_percent=PLACEHOLDER,e_value=PLACEHOLDER,AWAITING_USER_BLAST_RESULTS
PROT_OSPR1,MSA,PLACEHOLDER_NEEDS_DATA,conserved_region=PLACEHOLDER,alignment_file=PLACEHOLDER,notes=PLACEHOLDER,AWAITING_USER_MSA_RESULTS
PROT_OSPR1,INTERPRO,PLACEHOLDER_NEEDS_DATA,domain_name=PR-1_PLACEHOLDER,start_pos=PLACEHOLDER,end_pos=PLACEHOLDER,AWAITING_USER_INTERPRO_RESULTS
PROT_OSRAB16,BLAST,PLACEHOLDER_NEEDS_DATA,similar_protein=PLACEHOLDER,identity_percent=PLACEHOLDER,e_value=PLACEHOLDER,AWAITING_USER_BLAST_RESULTS
PROT_OSRAB16,MSA,PLACEHOLDER_NEEDS_DATA,conserved_region=PLACEHOLDER,alignment_file=PLACEHOLDER,notes=PLACEHOLDER,AWAITING_USER_MSA_RESULTS
PROT_OSRAB16,INTERPRO,PLACEHOLDER_NEEDS_DATA,domain_name=Dehydrin_PLACEHOLDER,start_pos=PLACEHOLDER,end_pos=PLACEHOLDER,AWAITING_USER_INTERPRO_RESULTS
